Date,High,Low,Open,Close,Volume,Adj Close
2001-01-02,19.25,19.0625,19.125,19.0625,41800.0,9.001133918762207
2001-01-03,19.5,19.0625,19.125,19.5,102600.0,9.207711219787598
2001-01-04,19.875,19.5,19.5,19.625,86700.0,9.266737937927246
2001-01-05,19.6875,19.3125,19.5625,19.4375,47000.0,9.178197860717773
2001-01-08,19.5,19.3125,19.4375,19.375,44300.0,9.148690223693848
2001-01-09,19.5,19.375,19.375,19.5,31700.0,9.207711219787598
2001-01-10,19.9375,19.4375,19.5,19.625,83100.0,9.266737937927246
2001-01-11,19.9375,19.625,19.75,19.625,61400.0,9.266737937927246
2001-01-12,19.75,19.5,19.6875,19.625,82200.0,9.266737937927246
2001-01-16,19.906200408935547,19.5,19.5,19.6875,74900.0,9.296247482299805
2001-01-17,19.75,19.5,19.625,19.5,290000.0,9.207711219787598
2001-01-18,19.6875,19.375,19.5625,19.4375,176300.0,9.178197860717773
2001-01-19,19.75,19.375,19.375,19.75,216500.0,9.325760841369629
2001-01-22,19.8125,19.5,19.8125,19.6875,414100.0,9.296247482299805
2001-01-23,19.875,19.625,19.625,19.6875,214600.0,9.296247482299805
2001-01-24,19.6875,19.625,19.6875,19.625,137100.0,9.266737937927246
2001-01-25,19.6875,19.4375,19.6875,19.4375,66000.0,9.178197860717773
2001-01-26,19.5,19.3125,19.5,19.4375,116600.0,9.178197860717773
2001-01-29,19.68000030517578,19.5,19.5,19.600000381469727,49200.0,9.25493049621582
2001-01-30,19.940000534057617,19.6299991607666,19.649999618530273,19.84000015258789,46800.0,9.368257522583008
2001-01-31,19.989999771118164,19.709999084472656,19.950000762939453,19.719999313354492,89600.0,9.311599731445312
2001-02-01,19.8799991607666,19.5,19.799999237060547,19.850000381469727,167100.0,9.372982025146484
2001-02-02,19.889999389648438,19.600000381469727,19.799999237060547,19.6200008392334,158200.0,9.264379501342773
2001-02-05,19.799999237060547,19.610000610351562,19.700000762939453,19.65999984741211,49800.0,9.283262252807617
2001-02-06,19.75,19.299999237060547,19.700000762939453,19.299999237060547,225500.0,9.113271713256836
2001-02-07,19.479999542236328,19.31999969482422,19.360000610351562,19.469999313354492,39700.0,9.193548202514648
2001-02-08,19.479999542236328,19.3700008392334,19.399999618530273,19.399999618530273,48600.0,9.160494804382324
2001-02-09,19.450000762939453,19.350000381469727,19.440000534057617,19.450000762939453,37000.0,9.184103965759277
2001-02-12,19.540000915527344,19.399999618530273,19.5,19.5,90300.0,9.207711219787598
2001-02-13,19.5,19.40999984741211,19.5,19.40999984741211,41900.0,9.165212631225586
2001-02-14,19.479999542236328,19.309999465942383,19.479999542236328,19.450000762939453,50200.0,9.184103965759277
2001-02-15,19.530000686645508,19.450000762939453,19.469999313354492,19.479999542236328,58000.0,9.198270797729492
2001-02-16,19.700000762939453,19.450000762939453,19.549999237060547,19.479999542236328,79200.0,9.198270797729492
2001-02-20,19.559999465942383,19.450000762939453,19.479999542236328,19.450000762939453,45600.0,9.184103965759277
2001-02-21,19.510000228881836,19.420000076293945,19.459999084472656,19.459999084472656,78000.0,9.188827514648438
2001-02-22,19.549999237060547,19.469999313354492,19.469999313354492,19.5,71700.0,9.207711219787598
2001-02-23,19.700000762939453,19.450000762939453,19.510000228881836,19.68000030517578,68700.0,9.292708396911621
2001-02-26,19.899999618530273,19.670000076293945,19.75,19.75,66300.0,9.325760841369629
2001-02-27,19.950000762939453,19.719999313354492,19.850000381469727,19.719999313354492,37500.0,9.311599731445312
2001-02-28,19.950000762939453,19.649999618530273,19.799999237060547,19.799999237060547,102100.0,9.349369049072266
2001-03-01,19.959999084472656,19.700000762939453,19.790000915527344,19.860000610351562,92800.0,9.377704620361328
2001-03-02,19.989999771118164,19.850000381469727,19.860000610351562,19.899999618530273,65800.0,9.396587371826172
2001-03-05,19.979999542236328,19.860000610351562,19.889999389648438,19.899999618530273,98000.0,9.396587371826172
2001-03-06,20.049999237060547,19.850000381469727,19.850000381469727,20.040000915527344,77600.0,9.462695121765137
2001-03-07,20.219999313354492,20.040000915527344,20.049999237060547,20.200000762939453,45600.0,9.53824520111084
2001-03-08,20.260000228881836,20.0,20.200000762939453,20.15999984741211,149400.0,9.519357681274414
2001-03-09,20.25,20.030000686645508,20.15999984741211,20.049999237060547,39000.0,9.467418670654297
2001-03-12,20.25,20.0,20.049999237060547,20.030000686645508,44900.0,9.457974433898926
2001-03-13,20.200000762939453,20.0,20.049999237060547,20.100000381469727,43900.0,9.491025924682617
2001-03-14,20.200000762939453,19.899999618530273,20.0,19.90999984741211,71000.0,9.401309967041016
2001-03-15,19.920000076293945,19.670000076293945,19.899999618530273,19.700000762939453,84800.0,9.30215072631836
2001-03-16,20.0,19.549999237060547,19.799999237060547,19.56999969482422,125500.0,9.240766525268555
2001-03-19,19.93000030517578,19.649999618530273,19.649999618530273,19.93000030517578,59400.0,9.410758972167969
2001-03-20,20.299999237060547,19.850000381469727,19.950000762939453,19.8700008392334,307900.0,9.38242244720459
2001-03-21,19.68000030517578,19.450000762939453,19.5,19.5,232200.0,9.43078899383545
2001-03-22,19.549999237060547,19.1299991607666,19.510000228881836,19.260000228881836,128200.0,9.314716339111328
2001-03-23,19.290000915527344,19.200000762939453,19.290000915527344,19.270000457763672,63700.0,9.31955337524414
2001-03-26,19.700000762939453,19.299999237060547,19.299999237060547,19.670000076293945,105300.0,9.513006210327148
